hall_id,result_date,machine_key,machine_name,units,avg_diff,avg_games,winning_units,total_units,selected_flag,source_name
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_1afe2c7bd5f9,スマスロとある科学の超電磁砲2,4,-2467.056,3992.0,0,4,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_e6b8b4696642,L ToLOVEるダークネス TRANCE ver.8.7,3,-3382.584,5812.0,0,3,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_5eff32fe9200,Lパチスロガールズ＆パンツァー 最終章,1,14930.0,5033.0,1,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_7271c1c787a8,Lパチスロ革命機ヴァルヴレイヴ,1,7334.0,9383.0,1,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_2acdf3e67d22,スマスロ スーパーリオエース2,1,6375.0,7016.0,1,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_5092f13c4d0e,Lバキ　強くなりたくば喰らえ！！！,1,4625.0,7234.0,1,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_ccda539048be,スマスロ デビルメイクライ5 スタイリッシュトライブ,1,4437.0,8014.0,1,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_7d0342a866c3,スマスロ真・北斗無双,1,3188.0,5139.0,1,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_4c1fef64b561,パチスロ　ハードボイルド,1,2802.0,7132.0,1,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_e8fb52c073c7,Lスマスロとある魔術の禁書目録,1,1739.0,3505.0,1,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_b4ab6b52c9ef,A-SLOT+異世界かるてっとBT,1,1479.0,8287.0,1,1,0,min-repo_machine_detail
